Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
North Carolina Agricultural & Technical State University,2008,20170452,15,3.533333333,
North Carolina Agricultural & Technical State University,2007,7014430,10,3.4,
North Carolina Agricultural & Technical State University,2006,4934087,9,3.555555556,
North Carolina Agricultural & Technical State University,2005,6124355,6,4.666666667,
North Carolina Agricultural & Technical State University,2004,3743013,12,2.666666667,
North Carolina Agricultural & Technical State University,2003,2105370,7,2.857142857,
North Carolina Agricultural & Technical State University,2002,10913544,9,3.444444444,
North Carolina Agricultural & Technical State University,2001,1104572,6,2.166666667,
North Carolina Central University,2012,1462930,4,3,
North Carolina Central University,2011,854267,2,4,
North Carolina Central University,2010,564000,2,2,
North Carolina Central University,2008,5554150,4,3.75,
North Carolina Central University,2007,426907,2,3.5,
North Carolina Central University,2006,392918,3,3.666666667,
North Carolina Central University,2004,2950067,3,3,
North Carolina State University,2012,31440526,91,2.879120879,31.440526
North Carolina State University,2011,30047487,85,2.823529412,30.047487
North Carolina State University,2010,42999142,104,3.048076923,42.999142
North Carolina State University,2009,42132802,96,3.427083333,42.132802
North Carolina State University,2008,45732127,88,3.329545455,45.732127
North Carolina State University,2007,30999659,76,3.684210526,30.999659
North Carolina State University,2006,25228523,72,3.652777778,25.228523
North Carolina State University,2005,18624202,59,3.254237288,18.624202
North Carolina State University,2004,45865137,87,4.24137931,45.865137
North Carolina State University,2003,32132784,98,3.653061224,32.132784
North Carolina State University,2002,14577942,62,3.629032258,14.577942
North Carolina State University,2001,28185012,72,3.638888889,28.185012
North Dakota State University Fargo,2012,2135191,8,3.25,
North Dakota State University Fargo,2011,4140160,17,2.588235294,
North Dakota State University Fargo,2010,7070237,20,2.55,
North Dakota State University Fargo,2009,8475210,17,3.176470588,
North Dakota State University Fargo,2008,17496900,10,3.6,
North Dakota State University Fargo,2007,1765851,7,2.571428571,
North Dakota State University Fargo,2006,2666179,10,3.3,
North Dakota State University Fargo,2005,11666081,13,3.615384615,
North Dakota State University Fargo,2004,3155497,9,2.888888889,
North Dakota State University Fargo,2003,4884730,15,2.733333333,
North Dakota State University Fargo,2002,9423166,17,3.529411765,
North Dakota State University Fargo,2001,2215201,8,2.75,
Northampton Community College,2007,695077,2,3.5,
Northeast Radio Observatory Corp,2012,2544156,3,3.333333333,
Northeast Radio Observatory Corp,2009,2727419,3,3.333333333,
Northeast Radio Observatory Corp,2008,1506630,3,3.666666667,
Northeast Radio Observatory Corp,2007,999902,2,4,
Northeast Radio Observatory Corp,2006,7052431,4,3.25,
Northeast Radio Observatory Corp,2001,3667566,3,3.666666667,
Northeastern Illinois University,2012,444344,3,3,
Northeastern Illinois University,2002,229375,2,4,
Northeastern Ohio University College of Medicine,2011,127202,2,3,
Northeastern Ohio University College of Medicine,2002,298026,2,5,
Northeastern University,2012,13108843,44,2.772727273,
Northeastern University,2011,12542380,35,2.771428571,
Northeastern University,2010,15274328,35,2.971428571,
Northeastern University,2009,29413783,53,3.169811321,
Northeastern University,2008,13063535,43,3.11627907,
Northeastern University,2007,12838019,35,3.2,
Northeastern University,2006,7843596,28,3.464285714,
Northeastern University,2005,10632757,23,3.434782609,
Northeastern University,2004,22984083,24,3.75,
Northeastern University,2003,8175523,25,3.56,
Northeastern University,2002,12417470,39,3.282051282,
Northeastern University,2001,7305822,24,3.208333333,
Northern Arizona University,2012,3881198,14,2.571428571,
Northern Arizona University,2011,5081168,15,2.666666667,
Northern Arizona University,2010,6151879,18,2.5,
Northern Arizona University,2009,3623436,13,3.153846154,
Northern Arizona University,2008,5924268,14,3.142857143,
Northern Arizona University,2007,2684085,11,3.818181818,
Northern Arizona University,2006,6149667,12,4.416666667,
Northern Arizona University,2005,3178478,14,3.428571429,
Northern Arizona University,2004,7183252,14,3.214285714,
Northern Arizona University,2003,5224890,16,3.4375,
Northern Arizona University,2002,2147048,12,2.916666667,
Northern Arizona University,2001,1756983,10,2,
Northern Illinois University,2012,1414094,6,3.333333333,
Northern Illinois University,2011,2501212,5,3.6,
Northern Illinois University,2010,1276550,10,2.3,
Northern Illinois University,2009,6094237,16,3.375,
Northern Illinois University,2008,2015244,10,3.5,
Northern Illinois University,2007,4129835,11,3.727272727,
Northern Illinois University,2006,2054969,7,4,
Northern Illinois University,2005,784630,8,3.375,
Northern Illinois University,2004,376623,6,2.333333333,
Northern Illinois University,2003,4101427,19,3.368421053,
Northern Illinois University,2002,1648686,10,3.2,
Northern Illinois University,2001,1876121,11,2.909090909,
Northern Kentucky University,2008,1310651,2,4.5,
Northern Kentucky University,2006,397419,3,3.333333333,
Northern Kentucky University,2005,417820,3,2.333333333,
"NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",2011,504207,5,2.6,
"NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",2010,874952,2,4.5,
"NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",2009,1377734,4,3.75,
Northern New Mexico College,2008,1097065,2,4.5,
Northwest Indian College,2010,2422381,2,4,
Northwest Indian College,2009,199032,2,2,
Northwest Missouri State University,2011,117995,2,4,
"NorthWest Research Associates, Incorporated",2012,1157544,6,2.666666667,
"NorthWest Research Associates, Incorporated",2011,2862121,7,3.142857143,
"NorthWest Research Associates, Incorporated",2010,3036167,8,2.875,
"NorthWest Research Associates, Incorporated",2009,3159653,9,3.333333333,
"NorthWest Research Associates, Incorporated",2008,3007403,8,3.5,
"NorthWest Research Associates, Incorporated",2007,1995941,6,3.166666667,
"NorthWest Research Associates, Incorporated",2006,2616827,9,3.666666667,
"NorthWest Research Associates, Incorporated",2005,3169352,8,4.125,
"NorthWest Research Associates, Incorporated",2004,1966144,4,4.25,
"NorthWest Research Associates, Incorporated",2003,3417304,11,3.090909091,
"NorthWest Research Associates, Incorporated",2002,2100296,8,3.5,
Northwestern University,2012,27686655,91,2.593406593,
Northwestern University,2011,24010854,82,3.036585366,
Northwestern University,2010,31865527,99,2.797979798,
Northwestern University,2009,46402104,113,3.17699115,
Northwestern University,2008,24008865,77,3.363636364,
Northwestern University,2007,39198889,103,3.611650485,
Northwestern University,2006,37000852,77,3.337662338,
Northwestern University,2005,35257112,73,3.479452055,
Northwestern University,2004,47139032,86,3.686046512,
Northwestern University,2003,26537979,82,3.853658537,
Northwestern University,2002,22136538,81,3.172839506,
Northwestern University,2001,42409080,92,3.793478261,
Northwestern University at Chicago,2010,479629,2,3,
Northwestern University at Chicago,2008,316735,2,2,
Norwich University,2012,392922,2,3,
Norwich University,2009,239486,2,2,
Nova Southeastern University,2006,99612,2,1.5,
"Novana, Inc.",2007,300000,2,0.5,
NOVAWAVE TECHNOLOGIES,2005,819872,2,2.5,
Novomer LLC,2009,200000,2,0,
Nuvogen Research,2011,560588,2,1,
NVE CORPORATION,2006,199681,2,0.5,
NVE CORPORATION,2003,1199875,4,1.25,
NVE CORPORATION,2002,799954,4,0.75,
NVE CORPORATION,2001,1585561,3,2,
Oak Ridge National Laboratory,2003,3898743,2,2.5,
Oakland University,2012,925448,5,3.4,
Oakland University,2011,1048168,5,2.6,
Oakland University,2010,836845,4,3.25,
Oakland University,2009,2829495,8,3.25,
Oakland University,2008,1131230,3,3.666666667,
Oakland University,2007,1834197,9,3.555555556,
Oakland University,2006,1065167,5,3,
Oakland University,2005,1586252,6,3.333333333,
Oakland University,2004,951499,6,3.833333333,
Oakland University,2003,2372799,10,3.4,
Oakland University,2002,828888,5,3.4,
Oakland University,2001,1607217,7,3.571428571,
Oberlin College,2012,546693,3,3.333333333,
Oberlin College,2011,760864,4,3.5,
Oberlin College,2010,1951845,6,2.5,
Oberlin College,2009,1438904,3,3.333333333,
Oberlin College,2008,934159,5,3.2,
Oberlin College,2007,1352640,5,4.4,
Oberlin College,2006,154800,2,2,
Oberlin College,2005,624401,3,3.333333333,
Oberlin College,2004,1408159,8,4,
Oberlin College,2002,252246,3,2.666666667,
Oberlin College,2001,692157,6,2.666666667,
Occidental College,2011,782771,2,3,
Occidental College,2010,608930,4,3.5,
Occidental College,2009,2137641,7,3.571428571,
Occidental College,2008,130065,2,2.5,
Occidental College,2007,577903,2,4,
Occidental College,2006,586757,2,3.5,
Occidental College,2005,553675,2,4.5,
Occidental College,2003,1252780,6,3.833333333,
Occidental College,2001,291157,2,4,
Ocean Genome Legacy,2006,370981,3,1.333333333,
"Ocean NanoTech, LLC",2008,901960,2,2,
"Ocean NanoTech, LLC",2007,200000,2,0,
Oceanography Society,2011,53246,2,1,
Oceanography Society,2009,151982,2,1,
Oceanography Society,2006,92246,2,1,
Oceanography Society,2005,85000,2,1,
Office of Naval Research,2010,773945,2,1.5,
Office of Naval Research,2006,1506790,3,1.333333333,
Office of Naval Research,2003,2494280,2,2.5,
Office of Naval Research,2001,4937615,4,2.25,
"OG TECHNOLOGIES, INC",2010,300000,2,0.5,
"OG TECHNOLOGIES, INC",2005,199999,2,0.5,
Oglala Lakota College,2010,999999,2,3.5,
Oglala Lakota College,2006,1767491,2,3.5,
Oglala Lakota College,2005,2549994,2,4.5,
Oglala Lakota College,2003,3586620,3,3.333333333,
Ohio Northern University,2010,86174,2,2.5,
Ohio State University,2012,27669694,100,2.67,
Ohio State University,2011,32654308,101,3.03960396,
Ohio State University,2010,40655009,105,2.838095238,
Ohio State University,2009,8505119,2,4,
Ohio State University,2001,1121727,6,2.333333333,
Ohio State University Research Foundation -DO NOT USE,2010,5237231,17,3.352941176,
Ohio State University Research Foundation -DO NOT USE,2009,39723793,118,3.06779661,
Ohio State University Research Foundation -DO NOT USE,2008,48480829,104,3.663461538,
Ohio State University Research Foundation -DO NOT USE,2007,46624737,96,3.458333333,
Ohio State University Research Foundation -DO NOT USE,2006,31349773,86,3.61627907,
Ohio State University Research Foundation -DO NOT USE,2005,39006576,102,3.578431373,
Ohio State University Research Foundation -DO NOT USE,2004,45347394,103,3.747572816,
Ohio State University Research Foundation -DO NOT USE,2003,34006787,99,3.505050505,
Ohio State University Research Foundation -DO NOT USE,2002,45041465,95,3.778947368,
Ohio State University Research Foundation -DO NOT USE,2001,31089476,100,3.23,
Ohio University,2012,3870409,14,3,
Ohio University,2011,4659818,17,2.941176471,
Ohio University,2010,6562807,18,2.722222222,
Ohio University,2009,6070864,20,3.55,
Ohio University,2008,2822213,9,3.777777778,
Ohio University,2007,5675790,15,3.533333333,
Ohio University,2006,5900327,14,4.285714286,
Ohio University,2005,2614343,14,3.5,
Ohio University,2004,1233211,5,3.4,
Ohio University,2003,4048110,18,2.611111111,
Ohio University,2002,2199000,12,3.333333333,
Ohio University,2001,3919165,9,3.888888889,
Ohio Wesleyan University,2010,1166096,3,3.666666667,
Ohio Wesleyan University,2002,273932,2,3.5,
Oklahoma Medical Research Foundation,2006,737064,2,2.5,
Oklahoma State University,2012,5331516,21,2.666666667,5.331516
Oklahoma State University,2011,6451830,20,2.9,6.45183
Oklahoma State University,2010,3547685,18,2.277777778,3.547685
Oklahoma State University,2009,12117404,32,3.28125,12.117404
Oklahoma State University,2008,17427826,21,3.333333333,17.427826
Oklahoma State University,2007,6598219,22,3.636363636,6.598219
Oklahoma State University,2006,3428937,16,2.875,3.428937
Oklahoma State University,2005,13729263,19,3.684210526,13.729263
Oklahoma State University,2004,8990958,13,3.692307692,8.990958
Oklahoma State University,2003,2753655,13,3,2.753655
Oklahoma State University,2002,12781399,16,4.0625,12.781399
Oklahoma State University,2001,6109189,19,3.631578947,6.109189
Old Dominion University Research Foundation,2012,7815542,23,2.47826087,
Old Dominion University Research Foundation,2011,5567157,21,2.142857143,
Old Dominion University Research Foundation,2010,5498188,22,2.5,
Old Dominion University Research Foundation,2009,8926035,25,2.84,
Old Dominion University Research Foundation,2008,4048018,17,3.352941176,
Old Dominion University Research Foundation,2007,9481950,22,3.772727273,
Old Dominion University Research Foundation,2006,3028360,14,3.857142857,
Old Dominion University Research Foundation,2005,6250295,17,3.529411765,
Old Dominion University Research Foundation,2004,3505738,14,3.142857143,
Old Dominion University Research Foundation,2003,3183435,15,2.933333333,
Old Dominion University Research Foundation,2002,8457625,25,3.68,
Old Dominion University Research Foundation,2001,3881496,16,3.375,
"Omega Optics, Inc.",2007,650000,2,2,
Omniprobe,2010,598001,2,1.5,
"OndaVia, Inc.",2010,400000,2,0.5,
"ONE CELL SYSTEMS, INC",2003,741950,2,1.5,
Optical Society of America,2012,15998,2,1,
Optical Society of America,2010,9000,2,1,
Optical Society of America,2009,19000,3,1,
ORBITAL RESEARCH INC,2001,599999,2,1,
"Ordway Research Institute, Inc.",2003,613340,2,3,
Oregon Health and Science University,2012,1080370,3,3,
Oregon Health and Science University,2011,3440278,8,2.75,
Oregon Health and Science University,2010,3235840,8,2.625,
Oregon Health and Science University,2009,2720863,5,2.6,
Oregon Health and Science University,2008,3792622,8,4.25,
Oregon Health and Science University,2007,2979967,9,2.777777778,
Oregon Health and Science University,2006,24694927,7,3.714285714,
Oregon Health and Science University,2005,2181986,8,3.25,
Oregon Health and Science University,2004,881431,4,1.75,
Oregon Health and Science University,2003,4109568,12,2.583333333,
Oregon Health and Science University,2002,4719512,10,3,
Oregon Health and Science University,2001,8979196,14,3.928571429,
Oregon Museum of Science and Industry,2012,364857,2,2,
Oregon Museum of Science and Industry,2007,3711682,2,5,
Oregon Museum of Science and Industry,2003,2126400,2,4.5,
Oregon State University,2012,23180107,86,2.720930233,23.180107
Oregon State University,2011,31435386,71,2.746478873,31.435386
Oregon State University,2010,33312756,82,2.975609756,33.312756
Oregon State University,2009,33374748,87,3.183908046,33.374748
Oregon State University,2008,27437548,60,3.816666667,27.437548
Oregon State University,2007,28351495,73,3.602739726,28.351495
Oregon State University,2006,28117875,71,3.718309859,28.117875
Oregon State University,2005,34012860,66,3.696969697,34.01286
Oregon State University,2004,25253550,62,3.725806452,25.25355
Oregon State University,2003,34991888,73,3.767123288,34.991888
Oregon State University,2002,29278355,49,3.530612245,29.278355
Oregon State University,2001,28522558,58,3.775862069,28.522558
Organization For Economic Cooperation & Development,2011,484785,3,1.333333333,
Organization For Economic Cooperation & Development,2001,150000,2,2.5,
"Ornarose, Inc.",2003,199422,2,0,
"Orthogonal, Inc",2011,633572,2,1,
Otterbein College,2009,595993,2,3.5,
Otterbein College,2006,171163,2,3,
Otterbein College,2002,139482,2,1.5,
Pace University New York Campus,2010,605151,2,3.5,
Pace University New York Campus,2003,288990,2,3.5,
Pace University New York Campus,2002,321507,2,2.5,
Pace University New York Campus,2001,231755,2,2.5,
Pacific Environment and Resources Center,2009,234117,2,1,
Pacific Lutheran University,2008,232006,2,2,
Pacific Lutheran University,2007,918179,2,3,
Pacific Lutheran University,2003,291602,2,5,
Pacific Lutheran University,2002,145685,2,3.5,
Pacific Resources for Education and Learning,2012,3026747,2,5,
Pacific Resources for Education and Learning,2010,1718715,2,2.5,
Pacific Resources for Education and Learning,2002,2073972,2,4,
Paleontological Research Institute,2011,73728,2,2.5,
Paleontological Research Institute,2010,842868,4,2.25,
Paleontological Research Institute,2009,750125,5,2.6,
Paleontological Research Institute,2007,2435873,4,4,
Paleontological Research Institute,2006,209181,3,3,
Paleontological Research Institute,2005,569547,4,3,
Paleontological Research Institute,2002,100183,2,0.5,
Palo Alto Research Center Incorporated,2011,547921,2,1.5,
"Parabon NanoLabs, Inc.",2010,550000,2,1,
"Parallel Synthesis Technologies, Inc",2005,199743,2,0.5,
"Parallel Synthesis Technologies, Inc",2002,199200,2,0,
Paul Smith's College of Arts and Sciences,2002,210855,2,2.5,
Paul Smith's College of Arts and Sciences,2001,222381,2,2,
"Pearlhill Technologies, LLC",2011,611529,2,1,
Pennsylvania State Univ University Park,2012,48768209,134,2.828358209,
Pennsylvania State Univ University Park,2011,41069891,143,2.804195804,
Pennsylvania State Univ University Park,2010,55254540,146,2.849315068,
Pennsylvania State Univ University Park,2009,55525590,164,3.256097561,
Pennsylvania State Univ University Park,2008,52632041,126,3.603174603,
Pennsylvania State Univ University Park,2007,58043393,165,3.654545455,
Pennsylvania State Univ University Park,2006,45490649,141,3.496453901,
Pennsylvania State Univ University Park,2005,46135430,126,3.642857143,
Pennsylvania State Univ University Park,2004,47336445,129,3.612403101,
Pennsylvania State Univ University Park,2003,44942391,134,3.395522388,
Pennsylvania State Univ University Park,2002,51649256,140,3.478571429,
Pennsylvania State Univ University Park,2001,56020923,134,3.52238806,
Pepperdine University,2002,411635,2,3,
Performance Polymer Solutions Inc.,2008,1043673,2,1.5,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2012,473735,4,2,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2011,98450,7,0.857142857,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2010,572746,3,1,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2009,520094,3,1.333333333,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2008,149222,5,0.8,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2007,15123145,4,3.5,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2006,1046525,5,3,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2005,4429530,3,3,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2004,3477761,4,3.5,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2003,485000,2,1,
"PERSONNEL MANAGEMENT, U S OFFICE OF",2001,677696,4,1.75,
"PH Matter, LLC",2012,649999,2,1,
Philadelphia University,2002,196333,2,2.5,
"PHOENIX SCIENCE & TECHNOLOGY, INC.",2003,593299,2,1.5,
"Photera Technologies, Inc.",2003,133286,2,0,
"PHOTODIGM, INC",2005,1130677,2,2,
Phycal LLC,2010,230000,2,0.5,
PHYSICAL OPTICS CORPORATION,2002,949977,3,1,
Physical Sciences Incorporated (PSI),2004,199774,2,0,
Physical Sciences Incorporated (PSI),2002,593628,2,1.5,
PICARRO INC,2003,199273,2,0.5,
"PICOCAL, Inc.",2007,199842,2,0,
"PICOSYS, INC.",2004,199253,2,0,
Piedmont Virginia Community College,2010,747945,2,3,
Piedmont Virginia Community College,2006,943105,2,5,
Pitzer College,2012,313447,3,2,
Planetary Science Institute,2005,299808,2,2,
Plymouth State University,2012,131592,2,2,
Point Loma Nazarene College,2005,493089,2,3.5,
Point Loma Nazarene College,2002,747060,2,3.5,
Polar Oceans Research Group,2002,913236,2,3,
Polytechnic University of New York,2012,7708888,19,2.894736842,
Polytechnic University of New York,2011,6608129,22,2.227272727,
Polytechnic University of New York,2010,7531467,14,3.071428571,
Polytechnic University of New York,2009,6079406,14,3.142857143,
Polytechnic University of New York,2008,4608526,10,3.1,
Polytechnic University of New York,2007,2700534,13,3,
Polytechnic University of New York,2006,1557357,8,3.125,
Polytechnic University of New York,2005,3687502,11,3.727272727,
Polytechnic University of New York,2004,6639113,22,2.954545455,
Polytechnic University of New York,2003,2961409,11,2.636363636,
Polytechnic University of New York,2002,7520031,15,3.4,
Polytechnic University of New York,2001,4032816,13,5,
Polytechnic University of Puerto Rico,2007,775841,2,3.5,
Polytechnic University of Puerto Rico,2003,499964,2,2.5,
Pomona College,2012,408503,2,3.5,
Pomona College,2011,1425024,4,2.5,
Pomona College,2010,1313901,6,2.333333333,
Pomona College,2009,1348503,5,3.4,
Pomona College,2008,53850,2,1.5,
Pomona College,2006,1083882,5,3.2,
Pomona College,2005,530946,4,3.25,
Pomona College,2003,387957,2,3.5,
Pomona College,2002,723720,3,3.333333333,
Pomona College,2001,732558,5,3.6,
Portland Community College,2008,1307919,3,4.333333333,
Portland Community College,2003,1096868,2,4.5,
Portland Community College,2001,1206649,2,4,
Portland State University,2012,4093527,20,2.45,
Portland State University,2011,3062545,13,2.615384615,
Portland State University,2010,9385871,20,3.1,
Portland State University,2009,7566792,26,3.076923077,
Portland State University,2008,8333996,22,3.363636364,
Portland State University,2007,4866434,20,3.3,
Portland State University,2006,4179329,14,3.785714286,
Portland State University,2005,3859395,13,3.230769231,
Portland State University,2004,7248558,24,3.291666667,
Portland State University,2003,3344939,11,4.090909091,
Portland State University,2002,3437318,12,3.833333333,
Portland State University,2001,5901094,14,3.785714286,
"Positron Systems, Inc.",2004,193625,2,0,
POWDERMET INC,2007,196639,2,0,
POWDERMET INC,2002,598142,2,1,
"Power Fingerprinting, Inc.",2012,300000,2,0.5,
POWERWORLD CORPORATION,2001,200000,2,0,
Prairie View A & M University,2012,1490339,5,2.8,
Prairie View A & M University,2011,608707,4,2.5,
Prairie View A & M University,2010,2193469,3,3.333333333,
Prairie View A & M University,2009,304080,2,3,
Prairie View A & M University,2008,526854,4,3.75,
Prairie View A & M University,2006,517391,2,3,
Prairie View A & M University,2004,2957859,3,3.666666667,
Prairie View A&M Research Foundation,2010,571792,3,2.666666667,
Prairie View A&M Research Foundation,2002,260675,2,3,
"Precision Combustion, Inc.",2001,856000,2,1,
"PREDICTION SCIENCES, LLC",2002,600000,2,1.5,
Presbyterian College,2008,319562,2,2,
Prince George's Community College,2005,4151469,2,5,
Prince George's Community College,2001,518657,2,4,
Princeton University,2012,31813201,77,2.896103896,
Princeton University,2011,27698269,74,2.891891892,
Princeton University,2010,41152817,88,3.102272727,
Princeton University,2009,43055776,93,3.483870968,
Princeton University,2008,47626158,61,3.524590164,
Princeton University,2007,28362304,84,3.69047619,
Princeton University,2006,51262727,80,3.6,
Princeton University,2005,36061117,75,3.933333333,
Princeton University,2004,39365681,92,3.380434783,
Princeton University,2003,36995819,81,3.62962963,
Princeton University,2002,46442662,73,3.712328767,
Princeton University,2001,18952825,58,3.293103448,
"ProSpect Photonics, Inc.",2010,1000000,2,2.5,
"ProSpect Photonics, Inc.",2009,737850,2,1.5,
"ProSpect Photonics, Inc.",2008,250000,2,0,
"Proteomic Systems, Inc.",2003,199963,2,0,
"Proton Energy Systems, Inc.",2012,649894,2,1,
"Proton Energy Systems, Inc.",2011,709977,2,1,
Providence St. Vincent Hospital,2001,272691,2,1,
Purdue Research Foundation,2001,7228025,22,3.772727273,
Purdue University,2012,33991966,121,2.859504132,33.991966
Purdue University,2011,32952375,109,2.899082569,32.952375
Purdue University,2010,59100269,134,2.902985075,59.100269
Purdue University,2009,144482031,199,3.246231156,144.482031
Purdue University,2008,44963810,123,3.504065041,44.96381
Purdue University,2007,68150043,126,3.801587302,68.150043
Purdue University,2006,31291383,96,3.40625,31.291383
Purdue University,2005,37824828,89,3.606741573,37.824828
Purdue University,2004,44181556,100,3.55,44.181556
Purdue University,2003,34292101,104,3.557692308,34.292101
Purdue University,2002,46975317,97,3.432989691,46.975317
Purdue University,2001,23564973,71,3.323943662,23.564973
"PureVision Technology, Inc.",2003,199231,2,0.5,
Q-Track Corporation,2007,609932,2,1,
QUALITY EDUCATION FOR MINORITIES NETWORK,2012,680310,2,1.5,
QUALITY EDUCATION FOR MINORITIES NETWORK,2010,2550144,3,2.666666667,
QUALITY EDUCATION FOR MINORITIES NETWORK,2009,2396319,6,2.5,
QUALITY EDUCATION FOR MINORITIES NETWORK,2008,4640696,8,3,
QUALITY EDUCATION FOR MINORITIES NETWORK,2005,460099,3,2.333333333,
QUALITY EDUCATION FOR MINORITIES NETWORK,2004,2258756,4,4.25,
QUALITY EDUCATION FOR MINORITIES NETWORK,2003,2853646,3,5.333333333,
QUALITY EDUCATION FOR MINORITIES NETWORK,2002,2066808,4,4.25,
Quantifind Inc.,2010,450112,2,1,
QuantTera,2009,250000,2,0.5,
"Quantum Magnetics, Inc.",2001,599976,2,2,
Radford University,2009,904664,3,3,
Radford University,2002,949964,4,4,
Radiation Monitoring Devices Inc,2006,199990,2,0.5,
Radiation Monitoring Devices Inc,2005,1479410,3,3,
Radiation Monitoring Devices Inc,2003,300000,3,0.666666667,
RAINDROP GEOMAGIC INC,2005,1514623,2,3,
RAINDROP GEOMAGIC INC,2004,300000,3,0,
Ramapo College of New Jersey,2007,1261996,2,4,
Ramapo College of New Jersey,2001,212128,2,3,
Rancho Santa Ana Botanic Garden,2010,573520,2,4,
Rancho Santa Ana Botanic Garden,2009,1243596,3,4,
Rancho Santa Ana Botanic Garden,2005,555497,2,4,
Rand Corporation,2012,901953,2,2,
Rand Corporation,2011,2208132,5,2.4,
Rand Corporation,2006,303001,2,1.5,
Rand Corporation,2004,7382414,3,5,
Rand Corporation,2003,1162423,4,1,
Rand Corporation,2002,9406878,6,2.333333333,
Rand Corporation,2001,6047335,11,2.181818182,
Randolph-Macon College,2009,991316,2,4,
Randolph-Macon College,2007,1014996,2,5,
Raytheon BBN Technologies Corp.,2011,11279228,2,3.5,
Raytheon BBN Technologies Corp.,2009,21999961,2,4,
Raytheon BBN Technologies Corp.,2008,27070017,4,3,
Raytheon BBN Technologies Corp.,2007,12128573,4,3,
REACTION ENGINEERING INTERNATIONAL,2001,862000,2,1.5,
"Reactive Innovations, LLC",2008,199996,2,0,
REACTIVE NANOTECHNOLOGIES INC,2003,1199319,3,1.333333333,
"REAL-TIME ANALYZERS, INCORPORATED",2002,614919,2,1.5,
REALTRONICS CORPORATION,2003,199998,2,0,
Red Rocks Community College,2002,711637,3,3,
Reed College,2012,167901,2,5,
Reed College,2010,438902,2,2,
Reed College,2004,395581,2,2,
Reed College,2003,201231,3,3,
Rehabilitation Engineering and Assistive Tech Society of NA,2008,43938,2,0.5,
Rehabilitation Engineering and Assistive Tech Society of NA,2007,40617,2,0.5,
Rehabilitation Institute of Chicago,2010,598408,2,3,
Rehabilitation Institute of Chicago,2009,2333385,2,4,
Remote Sensing Systems,2002,145165,2,2.5,
Rensselaer Polytechnic Institute,2012,15129598,47,2.70212766,
Rensselaer Polytechnic Institute,2011,11088161,47,2.468085106,
Rensselaer Polytechnic Institute,2010,18097032,57,2.771929825,
Rensselaer Polytechnic Institute,2009,12352331,41,3,
Rensselaer Polytechnic Institute,2008,25563356,45,2.933333333,
Rensselaer Polytechnic Institute,2007,17208290,51,3.294117647,
Rensselaer Polytechnic Institute,2006,20949576,36,3.416666667,
Rensselaer Polytechnic Institute,2005,15841982,43,3.697674419,
Rensselaer Polytechnic Institute,2004,14436031,50,3.48,
Rensselaer Polytechnic Institute,2003,27018829,67,3.731343284,
Rensselaer Polytechnic Institute,2002,5420733,29,3.103448276,
Rensselaer Polytechnic Institute,2001,22750900,38,3.763157895,
"RES Group, Inc.",2008,1895478,3,2,
Research Foundation of the City University of New York,2002,888117,3,3.666666667,
Research Foundation of the City University of New York,2001,895780,3,4,
Research Triangle Institute,2012,324963,2,2,
Research Triangle Institute,2008,458026,2,3.5,
Research Triangle Institute,2006,8455237,3,3,
Research Triangle Institute,2001,2167370,2,3.5,
RESODYN CORPORATION,2007,681755,3,1,
RESODYN CORPORATION,2006,602987,2,1.5,
RESODYN CORPORATION,2005,200000,2,0.5,
RESODYN CORPORATION,2004,624000,2,1.5,
RESODYN CORPORATION,2003,624000,2,2.5,
RESODYN CORPORATION,2002,644000,5,0.6,
RESODYN CORPORATION,2001,624000,2,3,
Resonant Sensors Incorporated,2007,1050000,2,2.5,
Resources For the Future Inc,2007,135112,2,3.5,
Resources For the Future Inc,2004,338044,2,3.5,
Reveo Incorporated,2003,199159,2,0.5,
Reveo Incorporated,2002,598602,2,1.5,
Reveo Incorporated,2001,1090377,3,1.333333333,
REYTECH CORPORATION,2001,199998,2,0,
Rhodes College,2003,637920,2,3,
Rhodes College,2002,84359,2,2,
Rider University,2011,505016,2,2,
Rider University,2007,650096,2,3.5,
Rider University,2003,909273,3,4,
Riverside Community College District,2008,876543,2,2.5,
Robert Morris University,2008,673431,2,5,
Robert Wood Johnson Medical School,2011,540000,2,3,
Robert Wood Johnson Medical School,2009,1450675,4,3.5,
Robert Wood Johnson Medical School,2008,998108,3,2.666666667,
Robert Wood Johnson Medical School,2006,789000,2,2.5,
Robert Wood Johnson Medical School,2003,606103,2,3,
Robert Wood Johnson Medical School,2002,1287240,3,4,
